Term,Definition,Example
Move the needle / Move the dial,something substantial enough that people will notice.,"""This decision will move the needle."""
MECE,everything being analyzed fits into one of the categories.,"""When structuring your ideas, make sure that you are MECE. Categorizing high school students into 9th grade, 10th grade, and 12th grade is MECE because high school students can only be in one of those categories. Categorizing high school students into teenagers, video gamers, and women is not MECE because someone can sit in more than one of those categories."""
Net-net,the final result after everything is taken into account.,"""Net-net, it was worthwhile to attend that conference."""
No worries,don't worry about it.,"""No worries, I've made the same mistake before."""
Off the record,to discuss something without the conversation being recorded or shared with others.,"""Let's keep this conversation off the record."""
Offline,not reachable.,"""I will be offline during. My hiking trip.”"
On board,to be in agreement with.,"""Make sure that Claire is on board with the email before sending it out to the rest of the group."""
On my radar,to draw to your attention.,"""I wanted to put this on your radar."""
On the same page,to be in agreement or have a common understanding on a certain topic.,"""Before you go off and start on an assignment, make sure that you and your manager are on the same page around when you should check in."""
OOO,"""Out of Office"", typically when someone is on vacation or not available.","""Make sure you set an email OOO greeting before you go on vacation."""
Out of pocket,"either ""not reachable by any form of communication"" (because the person is on an exotic island) or ""paid for by yourself"".","""I will be out of pocket next week because I will be at a conference. I will be paying for the flights out of pocket because my company is stingy."""
Open the floodgates,permitting others to do something that will overwhelm certain people.,"""Let's double-check this form before we make it live since we don't want to open the floodgates to questions from confused customers"""
Optics,how people perceive the situation.,"""It's bad optics if the intern presents to the client."""
Optimize,to find the most efficient or effective method of achieving a certain goal.,"""If you find yourself doing the same thing multiple times, try to optimize the way you approach the task by looking for a shortcut or more efficient approach."""
Optionality,to give people the freedom to choose.,"""It's helpful to give your manager multiple options to choose between. Even if they choose the one you wanted all along, people appreciate optionality."""
Panacea,something that will solve every problem.,"""This solution may not be a panacea, but it will at least help us meet this upcoming deadline."""
Paradigm shift,something that fundamentally changes people's thinking.,"""Good luck trying to convince the team. I'm not sure they are ready for this paradigm shift."""
Pencil in,"to roughly agree on (a date, usually).","""Let's pencil in next Monday at 2pm on the calendar and we can confirm on the morning of."""
Pick your brain,to ask for your perspective.,"""I'd love to pick your brain about this new project."""
Ping (someone),to contact (someone).,"""Ping me tomorrow at 2pm and we can chat then."""
Pivot,"to change directions, especially when it comes to a business’s strategy or focus.","""At first, we thought we were selling our software to international students on an H-1B work visas. After further market research, however, we realized that our most avid paying customers are actually immigration lawyers, so we pivoted from selling B2C to selling B2B."""
Plenary,a gathering of everyone involved in a project or committee who otherwise meet and work in smaller subgroups.,"""Let's host a plenary kickoff so that everyone has a chance to meet one another before splitting off into subcommittees."""
POC,"""Point of Contact"".","""Who is the right POC for this initiative?"""
POV,"""Point of View"" or someone's opinion.","""My POV is that it's too early to ask for a raise."""
Pressure test,"to find exceptions or a rule, weak points to an argument, or something that was overlooked.","""Have you pressure-tested the assumptions in your Excel analysis? I'm not sure this number is correct."""
Push back,to give a counterargument.,"""My only push-back to this idea is that it will take more than six months before we know if it will work."""
Put on the backburner,to deprioritize whatever you are doing.,"""Let's put this on the backburner for now.”"
QC,"""Quality Control"", or to double-check something to make sure it works and that there are no mistakes.","""Let's QC this report one more time before sending it out."""
Quarter / Q,"a three month period in a company's financial calendar (e.g. Quarter 1, or Q1, represents the first 'quarter' of the year, which is usually January, February, and March).","""Our sales increased by 20% in 1Q2019."""
Quick wins,something that is impactful and that doesn't take a lot of time or effort.,"""Acknowledging that John came up with this idea in the meeting is quick win for getting on John's good side."""
Red tape,bureaucracy.,"""The approval involves a lot of red tape."""
"Red ocean (or “blue ocean"")",a new market where there is little to no competition. (The ocean is blue because the sharks haven’t been feasting).,"""We need a blue ocean strategy because the ocean where we’re playing is red."""
Reinvent the wheel,to redo something from scratch rather than make use of other people's work.,"""When starting a new assignment, resist the urge to reinvent the wheel. Start by digging around to see if others have attempted a similar task before."""
Resonate,whether you like something.,"""Please see below for my list of questions for the podcast. Does this resonate?"""
Revenue,money that an organization makes from others (via customers).,"""Every business is interested in increasing its revenues and decreasing its costs.”"
Reverse engineer,to examine someone else's work to try and figure out how they did it.,"""This company says it made over $5 million last year. Dig through the prices of their products and whatever you can find about their store volume to reverse engineer how many customers they must have served."""
RFP,"""Request for Proposal”, typically when an organization announces to the world that they would like other organizations to send them a plan for solving one of their problems or meeting one of their needs.","""This RFP is super long."""
Roadmap,"a plan, calendar, or timeline.","""Before you hide away for a month to work on this project, present your roadmap to your manager so you both agree on what needs to be done."""
Rocket science,something that is really difficult.,"""This is not rocket science. Just update the slide."""
ROI (Return on Investment),how much benefit you get for putting in a certain amount of money or time.,"""Let's rank these initiatives by their ROI."""
Save up,to save a document that is currently being worked on as a new file with a new version stamp (such as “v3”) and date stamp (such as 2023-12-10) so that the prior version can be preserved in case someone needs to refer back to it. means to do more of something with far less time or energy than it takes to do something once.,“Please save this file up a version and then send me the latest.”
Scalable,to do more of something with far less time or energy than it takes to do something once.,"""Allowing every customer who calls to speak with a human being within 10 seconds is not scalable because we'll need to hire more people."""
Scope,"the boundaries for a project, where in-scope represents all the tasks that one can/should do in a project and out-of-scope represents all the irrelevant tasks.","""Is pricing in scope for this conversation, or should we not talk about price at all–because it might turn people off–and wait until the next meeting?"""
Segment,to categorize.,"""Our customers can be broadly segmented into three categories: parents, ."""
Shiny objects,attractive things that distract people.,"""Be wary of all the shiny objects you will come across. Focus on the main project."""
Shoot yourself in the foot,to screw yourself over.,"""Let's not shoot ourselves in the foot by setting a deadline we cannot meet."""
Skip manager,,"""Going to your skip manager with questions without first asking your manager can embarrass your immediate manager."""
Skunkworks (or Skunk Works Project),a small group of people in an organization working on a sometimes-secret project meant to help a company launch a new and innovative idea.,"""Let’s stand up a skunkworks."""
Slippery slope,a situation where doing something permits something worse to happen.,"""It's a slippery slope to promote this person ahead of schedule because it will lead to others asking for an early promotion too."""
SME,"either ""Subject Matter Expert"" or ""Small and Medium-sized Enterprise"".","""Davis is an SME on SMEs."" (A ridiculous sentence you will hopefully never hear.)"
Socialize,sharing an idea with others to get their endorsement before a big group decision is made.,"""Make sure you socialize an idea around the team before you present it in a big meeting. If you don't, you run the risk that someone pushes back and embarrasses you publicly."""
SOW,"""Scope of Work"" or ""Statement of Work"" – a contract that states what work needs to be done, by when, and according to what timeline, for a project to be considered a success.","""Can you please draft an SOW with our partners for me to review?"""
Spin your wheels,to put a lot of effort into something but not make any actual progress toward a certain goal.,"""If your manager asks you to write a 500-word blog post, set up a meeting or send an email to your manager after you brainstorm a few topics and after you write an outline of what you plan to write. If you don't, you risk spinning your wheels by polishing up an essay on the wrong topic and needing to start all over again."""
Stakeholders,anyone who is affected by something.,"""Parents are a stakeholder of their child's education."""
Strawman,a rough draft or outline of something.,"""Don't just hide away for weeks and come back with a 20-page report. Give your manager a strawman first."""
Swim lane,whatever you are responsible for.,"""Samir needs to stay in his swim lane and stop doing other people's tasks."""
Synergy,some extra benefit arising from two things being combined.,"""Since our teams are working on similar topics, there are a lot of synergies from us sitting close to each other."""
Synthesize,to look at the situation as a whole and summarize the main points (like the abstract or thesis statement of a paper),"""Can you synthesize this whitepaper?"""
Table (something),to postpone discussion on a topic in a meeting.,"""Let's table this issue for now because we are running short on time."""
Table stakes,the bare minimum expectation.,"""Following instructions is table stakes in a new job. What really matters is whether you can go above and beyond what you were explicitly told to do."""
Take this offline,"let's follow up one-on-one later, rather than discuss in front of everyone right now.","""Let's take this offline."""
Take to the next level,to improve.,"""Let's take this analysis to the next level."""
Think outside the box,to think more creatively / tell me something I don't already know.,"""I need you to think outside of the box more."""
Throw under the bus,to make someone look bad.,"""Wow, way to throw the intern under the bus!"""
Timebox,to set a time limit for finishing something.,"""Let's timebox the next item on the agenda because we are running short on time and I want to make sure we end the meeting on time.”"
To your point,"I am mostly interested in hearing myself speak, but I want to give you the sense that I was listening when you were talking earlier by relating my idea to whatever you said.","""To James' point earlier about needing to keep the videography team in the loop, perhaps we could send out a blast email with everyone CCed?"""
Too many cooks in the kitchen,that many people are involved in getting something simple done.,"""Let's limit the meeting to 4 people so we don't end up having too many cooks in the kitchen."""
Top of mind,something that is someone’s top priority or concern.,“What’s top of mind for you these days?”
Touch base,let's discuss further.,"""Let's touch base about this report."""
Traction,to have measurable progress towards a goal or acceptance among a group of people.,"""Our tweet is getting traction on the Internet. It's been re-tweeted 100+ times."""
Triangulate,to arrive at an estimate by piecing together a bunch of available data points.,"""I couldn't find any data on customer traffic for the winter holidays of 2010, but, given that we have data for the rest of the year and customer traffic increases by 20% from November to December, I triangulated customer traffic by multiplying November's customer traffic by 1.2."""
Two cents,your opinion.,"""I think we can make this email shorter, but that's just my two cents. Feel free to send it if you want."""
UI/UX,the process that a user takes to do something.,"""The UX of this form is terrible. There are so many buttons I need to click to get even simple things done. The UI also looks like it was made in the '90s."""
Unpack,to explain in more detail.,"""I'm not quite familiar with this concept. Mind unpacking this concept for me?"""
V,"an abbreviation for “version” and is used for documents that are edited multiple times. If a document has a “v12” or “V12” in its name, that means that there are 12 versions of a document, with the highest version being the most recently edited version.",“I’m editing v3 of the memo.”
Value engineering,finding a way to minimize the cost of doing something while sacrificing quality to the least extent possible.,"""We’re in a commodity business. If we don’t do more value engineering, we’ll be outcompeted."""
Value prop / Value proposition,what makes something attractive.,"""The value proposition of this new service is that it helps companies cut costs."""
vF,"a tag people use on the “final” version of a file, where “v” stands for “version” and “F” stands for “final.” Sometimes, people will make further changes to the “vF” of a file, in which case the next version of the file will be labeled as “vF1,” “vF2,” and so on or “vFF” and “vFFF.”",“I can’t believe we’re working on vFFFF of this slide deck. This project will never end!”
Wrap (one's) head around,to try to understand.,"""I'm still trying to wrap my head around whether this is even feasible."""
YTD,"""Year to Date”, or the time between January 1st of this year and now.","""What is our YTD website traffic?"""
